"","original_name","species_list_name"
"3614","Platanus x acerifolia","Platanus x acerifolia"
"3615","Prunus cerasifera Pissardii","Prunus cerasifera Pissardii"
"3616","ZZ Tree stump","Dead stump"
"3617","Ilex aquifolium","Ilex aquifolium"
"3618","Betula pendula","Betula pendula"
"3619","Pyrus calleryana Chanticleer","Pyrus calleryana Chanticleer"
"3620","Prunus padus","Prunus padus"
"3621","Pinus sylvestris","Pinus sylvestris"
"3622","Acer platanoides","Acer platanoides"
"3623","Platanus x acerifolia","Platanus x acerifolia"
"3624","Tilia x europea","Tilia x europea"
"3625","Quercus robur","Quercus robur"
"3626","Ilex aquifolium","Ilex aquifolium"
"3627","Sorbus intermedia","Sorbus intermedia"
"3628","Acer platanoides","Acer platanoides"
"3629","Malus - Species Unknown","Malus Spp."
"3630","Tilia platyphyllos","Tilia platyphyllos"
"3631","Tilia x europea","Tilia x europea"
"3632","Salix x sepulcralis chrysocoma","Salix x sepulcralis"
"3633","Tilia x europea","Tilia x europea"
"3634","Acer pseudoplatanus","Acer pseudoplatanus"
"3635","Ilex aquifolium","Ilex aquifolium"
"3636","Prunus cerasifera","Prunus cerasifera"
"3637","Platanus x acerifolia","Platanus x acerifolia"
"3638","Fagus sylvatica","Fagus sylvatica"
"3639","Fraxinus excelsior","Fraxinus excelsior"
"3640","Acer pseudoplatanus","Acer pseudoplatanus"
"3641","Fraxinus excelsior","Fraxinus excelsior"
"3642","Salix fragilis","Salix fragilis"
"3643","Tilia - Species Unknown","Tilia Spp."
"3645","Acer saccharinum","Acer saccharinum"
"3646","Prunus Snow Goose","Prunus Snow goose"
"3647","Populus x canadensis Robusta","Populus x canadensis"
"3648","Tilia x europea","Tilia x europea"
"3649","Betula pendula","Betula pendula"
"3650","Acer platanoides cv","Acer platanoides Spp."
"3651","Platanus x acerifolia","Platanus x acerifolia"
"3652","Crataegus monogyna","Crataegus monogyna"
"3653","Platanus x acerifolia","Platanus x acerifolia"
"3654","Cupressus macrocarpa","Cupressus macrocarpa"
"3655","Acer platanoides","Acer platanoides"
"3656","Acer pseudoplatanus cv","Acer pseudoplatanus Spp."
"3657","Populus nigra Italica","Populus nigra Italica"
"3658","Prunus cerasifera Pissardii","Prunus cerasifera Pissardii"
"3659","Sorbus torminalis","Sorbus torminalis"
"3660","Tilia - Species Unknown","Tilia Spp."
"3661","Acer platanoides","Acer platanoides"
"3662","Sorbus aucuparia","Sorbus aucuparia"
"3663","Aesculus hippocastanum","Aesculus hippocastanum"
"3664","Malus Cox's Orange Pippin","Malus Cox's Orange Pippin"
"3665","Prunus - Species Unknown","Prunus Spp."
"3666","Fraxinus excelsior","Fraxinus excelsior"
"3667","Tilia - Species Unknown","Tilia Spp."
"3668","Malus - Species Unknown","Malus Spp."
"3669","Prunus avium","Prunus avium"
"3670","Quercus rubra","Quercus rubra"
"3671","Acer platanoides","Acer platanoides"
"3672","Fraxinus excelsior","Fraxinus excelsior"
"3673","Platanus x acerifolia","Platanus x acerifolia"
"3674","Malus - Species Unknown","Malus Spp."
"3675","Chamaecyparis lawsoniana","Chamaecyparis lawsoniana"
"3676","Pinus sylvestris","Pinus sylvestris"
"3677","Chamaecyparis obtusa Cripsii","Chamaecyparis obtusa Crippsii"
"3678","ZZ Tree stump","Dead stump"
"3679","Salix x sepulcralis chrysocoma","Salix x sepulcralis"
"3680","Prunus cerasifera Pissardii","Prunus cerasifera Pissardii"
"3681","Acer saccharinum","Acer saccharinum"
"3682","Tilia x europea","Tilia x europea"
"3683","Crataegus monogyna","Crataegus monogyna"
"3684","Acer pseudoplatanus","Acer pseudoplatanus"
"3685","Chamaecyparis lawsoniana cv","Chamaecyparis lawsoniana Spp."
"3686","Pyrus calleryana Chanticleer","Pyrus calleryana Chanticleer"
"3687","Catalpa bignonioides","Catalpa bignonioides"
"3688","Ulmus glabra","Ulmus glabra"
"3689","Fraxinus excelsior","Fraxinus excelsior"
"3690","Acer campestre","Acer campestre"
"3691","Prunus - Species Unknown","Prunus Spp."
"3692","Acer pseudoplatanus","Acer pseudoplatanus"
"3693","Tilia x europea","Tilia x europea"
"3694","Fraxinus excelsior","Fraxinus excelsior"
"3695","Pyrus calleryana Chanticleer","Pyrus calleryana Chanticleer"
"3696","Corylus avellana","Corylus avellana"
"3697","Sorbus intermedia","Sorbus intermedia"
"3698","ZZ Tree stump","Dead stump"
"3699","Ilex - Unknown Species","Ilex Spp."
"3700","Tilia tomentosa","Tilia tomentosa"
"3701","Sorbus - Species Unknown","Sorbus Spp."
"3702","Tilia x europea","Tilia x europea"
"3703","Platanus x acerifolia","Platanus x acerifolia"
"3704","Platanus x acerifolia","Platanus x acerifolia"
"3705","Acer platanoides","Acer platanoides"
"3706","Acer platanoides","Acer platanoides"
"3707","Tilia x europea","Tilia x europea"
"3708","Prunus avium","Prunus avium"
"3709","Acer platanoides Drummondii","Acer platanoides Drummondii"
"3711","Fraxinus excelsior","Fraxinus excelsior"
"3712","Acer pseudoplatanus","Acer pseudoplatanus"
"3713","Quercus robur","Quercus robur"
"3714","Salix alba","Salix alba"
"3715","Pyrus calleryana Chanticleer","Pyrus calleryana Chanticleer"
"3716","Laburnum anagyroides","Laburnum anagyroides"
"3717","Malus - Species Unknown","Malus Spp."
"3718","Fraxinus excelsior","Fraxinus excelsior"
"3719","Tilia x europea","Tilia x europea"
"3720","Fraxinus excelsior","Fraxinus excelsior"
"3721","Acer platanoides","Acer platanoides"
"3722","Acer platanoides","Acer platanoides"
"3723","Crataegus monogyna","Crataegus monogyna"
"3724","Tilia x europea","Tilia x europea"
"3725","Acer pseudoplatanus","Acer pseudoplatanus"
"3726","Platanus x acerifolia","Platanus x acerifolia"
"3727","Populus x canadensis","Populus x canadensis"
"3728","Platanus x acerifolia","Platanus x acerifolia"
"3729","Platanus x acerifolia","Platanus x acerifolia"
"3730","Tilia x europea","Tilia x europea"
"3731","Betula pendula","Betula pendula"
"3732","Tilia x europea","Tilia x europea"
"3733","Sorbus - Species Unknown","Sorbus Spp."
"3734","Malus trilobata","Malus trilobata"
"3735","Tilia cordata","Tilia cordata"
"3736","Acer platanoides cv","Acer platanoides Spp."
"3737","Sorbus intermedia","Sorbus intermedia"
"3738","Tilia cordata","Tilia cordata"
"3739","Crataegus monogyna","Crataegus monogyna"
"3740","Acer saccharinum","Acer saccharinum"
