"","original_name","species_list_name"
"11800","Unknown species - Broadleaf","NA NA"
"11808","Unknown species - Broadleaf","NA NA"
"11835","No Code Allocated","NA NA"
"11941","X Cupressocyparis l. Castlewel","NA NA"
"11954","No Code Allocated","NA NA"
"11955","No Code Allocated","NA NA"
"12004","Mixed Species Group","NA NA"
"12018","Malus yunnanensis veitchii","Malus yunnanensis NA"
"12020","No Code Allocated","NA NA"
"12034","X Cupressocyparis leylandii","NA NA"
"12046","Betula pendula Edinburgh","Betula pendula NA"
"12086","Pyracantha - Species Unknown","NA NA"
"12149","Mixed Species Group","NA NA"
"12152","Unknown species - Broadleaf","NA NA"
"12164","Betula pendula 'Obelisk'","Betula pendula NA"
"12275","Sorbus aucuparia 'Streetwise'","Sorbus aucuparia NA"
"12281","Unknown species - Broadleaf","NA NA"
"12287","Mixed Species Group","NA NA"
"12470","Betula pendula 'Obelisk'","Betula pendula NA"
"12475","Sorbus aucuparia 'Streetwise'","Sorbus aucuparia NA"
"12477","Crataegus oxyacanthoides","Crataegus NA"
"12483","Prunus insititia GMerryweath","Prunus NA"
"12525","Liquidamber s. Slender Silhout","NA NA"
"12542","No Code Allocated","NA NA"
"12570","No Code Allocated","NA NA"
"12633","Unknown species - Broadleaf","NA NA"
"12635","No Code Allocated","NA NA"
"12638","No Code Allocated","NA NA"
"12649","No Code Allocated","NA NA"
"12691","No Code Allocated","NA NA"
"12711","Mixed Species","NA NA"
"12868","Cordyline australis","Cordyline NA"
"12872","Mixed Species Group","NA NA"
"12993","No Code Allocated","NA NA"
"13045","X Cupressocyparis leylandii","NA NA"
"13117","X Cupressocyparis leylandii","NA NA"
"13194","Juniperus virginiana Skyrocket","Juniperus virginiana NA"
"13244","Mixed Species","NA NA"
"13309","Mixed Species","NA NA"
"13378","Mixed Species","NA NA"
"13402","Mixed Species Group","NA NA"
"13421","Chamaecyparis lawsoniana Allum","Chamaecyparis lawsoniana NA"
"13491","Mixed Species","NA NA"
"13493","No Code Allocated","NA NA"
"13508","No Code Allocated","NA NA"
"13683","Ilex aquifolium Aureomarginata","Ilex aquifolium NA"
"13726","X Cupressocyparis leylandii","NA NA"
"13779","Mixed Species Group","NA NA"
"13843","X Cupressocyparis leylandii","NA NA"
"13866","X Cupressocyparis leylandii","NA NA"
"13894","X Cupressocyparis leylandii","NA NA"
"13930","X Cupressocyparis leylandii","NA NA"
"13944","Sorbus aucuparia 'Streetwise'","Sorbus aucuparia NA"
"14048","Unknown species - Broadleaf","NA NA"
"14059","Mixed Species","NA NA"
"14062","Mixed Species","NA NA"
"14118","Mixed Species","NA NA"
"14125","X Cupressocyparis leylandii","NA NA"
"14148","Mixed Species","NA NA"
"14150","Unknown species - Conifer","NA NA"
"14171","Mixed Species Group","NA NA"
"14251","Mixed Species Group","NA NA"
"14305","Mixed Species","NA NA"
"14357","No Code Allocated","NA NA"
"14383","Betula pendula Edinburgh","Betula pendula NA"
"14396","No Code Allocated","NA NA"
"14420","No Code Allocated","NA NA"
"14471","Ilex aquifolium Aureomarginata","Ilex aquifolium NA"
"14593","No Code Allocated","NA NA"
"14627","Sorbus aucuparia 'Streetwise'","Sorbus aucuparia NA"
"14958","Betula pendula 'Obelisk'","Betula pendula NA"
"15013","X Cupressocyparis leylandii","NA NA"
"15020","Mixed Species Group","NA NA"
"15047","X Cupressocyparis leylandii","NA NA"
"15065","Sorbus aucuparia 'Streetwise'","Sorbus aucuparia NA"
"15122","Mixed Species Group","NA NA"
"15157","X Cupressocyparis leylandii","NA NA"
"15232","Mixed Species","NA NA"
"15310","Malus yunnanensis veitchii","Malus yunnanensis NA"
"15324","X Cupressocyparis leylandii","NA NA"
"15376","X Cupressocyparis leylandii","NA NA"
"15425","Mixed Species","NA NA"
"15449","Mixed Species","NA NA"
"15606","No Code Allocated","NA NA"
"15719","Ilex aquifolium Albomarginata","Ilex aquifolium NA"
"15769","Sorbus aucuparia 'Streetwise'","Sorbus aucuparia NA"
"15821","Sorbus aucuparia 'Streetwise'","Sorbus aucuparia NA"
"15905","Mixed Species","NA NA"
"15958","X Cupressocyparis leylandii","NA NA"
"15970","Malus yunnanensis veitchii","Malus yunnanensis NA"
"16019","Pinus nigra austriaca","Pinus nigra NA"
"16037","Crataegus oxyacanthoides","Crataegus NA"
"16082","Mixed Species","NA NA"
"16109","Chamaecyparis lawsoniana Allum","Chamaecyparis lawsoniana NA"
"16146","Unknown species - Broadleaf","NA NA"
"16154","No Code Allocated","NA NA"
"16160","No Code Allocated","NA NA"
"16187","X Cupressocyparis leylandii","NA NA"
"16214","Unknown species - Broadleaf","NA NA"
"16217","Mixed Species","NA NA"
"16220","Sorbus aucuparia 'Streetwise'","Sorbus aucuparia NA"
"16282","Sorbus aucuparia 'Streetwise'","Sorbus aucuparia NA"
"16352","Unknown species - Broadleaf","NA NA"
"16414","X Cupressocyparis leylandii","NA NA"
"16429","X Cupressocyparis leylandii","NA NA"
"16478","X Cupressocyparis leylandii","NA NA"
"16513","No Code Allocated","NA NA"
"16578","Malus yunnanensis veitchii","Malus yunnanensis NA"
"16612","Unknown species - Broadleaf","NA NA"
"16724","Mixed Species Group","NA NA"
"16797","No Code Allocated","NA NA"
"16800","No Code Allocated","NA NA"
"16814","Betula pendula Edinburgh","Betula pendula NA"
"16888","X Cupressocyparis leylandii","NA NA"
"16903","Mixed Species","NA NA"
"16909","Mixed Species","NA NA"
"17022","No Code Allocated","NA NA"
"17079","Mixed Species","NA NA"
"17104","Mixed Species","NA NA"
"17315","Ilex aquifolium Aureomarginata","Ilex aquifolium NA"
"17358","Malus yunnanensis veitchii","Malus yunnanensis NA"
"17375","Sorbus aucuparia 'Streetwise'","Sorbus aucuparia NA"
"17422","X Cupressocyparis l. Castlewel","NA NA"
"17448","X Cupressocyparis leylandii","NA NA"
"17513","X Cupressocyparis leylandii","NA NA"
"17569","No Code Allocated","NA NA"
"17571","Betula pendula Edinburgh","Betula pendula NA"
"17585","No Code Allocated","NA NA"
"17660","Malus yunnanensis veitchii","Malus yunnanensis NA"
"17708","Betula pendula 'Obelisk'","Betula pendula NA"
"17746","X Cupressocyparis leylandii","NA NA"
"17800","Betula pendula Edinburgh","Betula pendula NA"
"17818","No Code Allocated","NA NA"
"17919","X Cupressocyparis leylandii","NA NA"
"17992","No Code Allocated","NA NA"
"17997","X Cupressocyparis l. Castlewel","NA NA"
"18219","No Code Allocated","NA NA"
"18250","Prunus japonica cv","Prunus NA"
"18266","Unknown species - Broadleaf","NA NA"
"18286","X Cupressocyparis leylandii","NA NA"
"18300","Salix alba Coerulea","Salix alba NA"
"18320","Mixed Species","NA NA"
"18322","Mixed Species","NA NA"
"18328","Mixed Species","NA NA"
"18534","Mixed Species","NA NA"
"18539","Unknown species - Broadleaf","NA NA"
"18558","No Code Allocated","NA NA"
"18577","Prunus 'Accolade'","Prunus NA"
"18665","No Code Allocated","NA NA"
"18753","Mixed Species Group","NA NA"
"18884","No Code Allocated","NA NA"
"18895","No Code Allocated","NA NA"
"18950","Mixed Species","NA NA"
"19043","No Code Allocated","NA NA"
"19075","Mixed Species Group","NA NA"
"19092","Chitalpa taschkentensis Sum Ba","NA NA"
"19198","Prunus Collingwood Ingram","Prunus NA"
"19223","X Cupressocyparis l. Castlewel","NA NA"
"19264","Mixed Species Group","NA NA"
"19307","Mixed Species Group","NA NA"
"19396","Sorbus aucuparia 'Streetwise'","Sorbus aucuparia NA"
"19437","X Cupressocyparis leylandii","NA NA"
"19481","X Cupressocyparis leylandii","NA NA"
"19485","Salix alba Britzensis","Salix alba NA"
"19564","X Cupressocyparis leylandii","NA NA"
"19610","Salix alba Coerulea","Salix alba NA"
"19612","No Code Allocated","NA NA"
"19613","No Code Allocated","NA NA"
"19614","No Code Allocated","NA NA"
"19628","Mixed Species","NA NA"
"19707","Mixed Species","NA NA"
"19784","Mixed Species Group","NA NA"
"19812","Buddleia davidii","NA NA"
"19844","Betula pendula Edinburgh","Betula pendula NA"
"19879","Mixed Species","NA NA"
"19915","+ Laburnocytisus adamii","NA NA"
"19929","X Cupressocyparis l. Castlewel","NA NA"
"19998","Betula pendula 'Obelisk'","Betula pendula NA"
