Identifier,Sequence,Scientific Name,Common Name,Height In Metres,Spread In Metres,Diameter In Centimetres At Breast Height,Maturity,Physiological Condition,Capital Asset Value For Amenity Trees,Number Of Trees,Site Name,Site Address,Contract Area,Inspection Date,Inspection Due Date,Ward Code,Ward Name,Easting,Northing,Longitude,Latitude,Location,Spatial Accuracy,Last Uploaded,Organisation URI
15343,21,Tilia cordata,Lime - Small-leaved,16,10,41,Mature,Fair,£12694.30,1,OPPIDANS ROAD,OPPIDANS ROAD NW3,Highways,26/07/2016,2019/2020,E05000130,Camden Town with Primrose Hill,527750,184134,-0.159235,51.54166,"(51.54166, -0.159235)",Captured By Camden Officer,12/12/2017 20:30,http://opendatacommunities.org/id/london-borough-council/camden
2472,20,Acer pseudoplatanus,Sycamore,16,12,49,Mature,Good,£17268.09,1,Broadfield Estate 1,,Housing,09/10/2015,2018/2019,E05000144,Swiss Cottage,526076,184676,-0.183161,51.546907,"(51.546907, -0.183161)",Captured By Camden Officer,12/12/2017 20:31,http://opendatacommunities.org/id/london-borough-council/camden
55401,10,Betula jacquemontii,Birch - Himalayan,5,3,10,Middle aged,Good,£647.28,1,MORNINGTON STREET,MORNINGTON STREET NW1,Highways,28/07/2016,2019/2020,E05000142,Regent's Park,529007,183448,-0.141359,51.535211,"(51.535211, -0.141359)",Captured By Camden Officer,12/12/2017 20:30,http://opendatacommunities.org/id/london-borough-council/camden
37349,53,Sorbus aria,Whitebeam,5,2,10,Middle aged,Fair,£863.04,1,College Place Estate 2,,Housing,05/08/2016,2019/2020,E05000143,St Pancras and Somers Town,529415,183677,-0.135408,51.537172,"(51.537172, -0.135408)",Captured By Camden Officer,12/12/2017 20:31,http://opendatacommunities.org/id/london-borough-council/camden
18501,13,Prunus kanzan,Cherry - Double pint,7,7,27,Middle aged,Good,£4718.70,1,St Albans Villas Estate,,Housing,13/06/2017,2020/2021,E05000137,Highgate,528387,186310,-0.149262,51.561066,"(51.561066, -0.149262)",Captured By Camden Officer,12/12/2017 20:30,http://opendatacommunities.org/id/london-borough-council/camden
108,74,Acer platanoides,Maple - Norway,10,6,41,Middle aged,Fair,£11283.82,1,Abbey Estate 1,,Housing,09/10/2015,2018/2019,E05000140,Kilburn,525942,183714,-0.185438,51.538288,"(51.538288, -0.185438)",Captured By Camden Officer,12/12/2017 20:31,http://opendatacommunities.org/id/london-borough-council/camden
15607,17,Tilia europaea,Lime - Common,12,4,64,Mature,Fair,£26512.73,1,PARLIAMENT HILL,PARLIAMENT HILL NW3,Highways,20/07/2017,2020/2021,E05000135,Hampstead Town,527524,186006,-0.161817,51.558533,"(51.558533, -0.161817)",Captured By Camden Officer,12/12/2017 20:30,http://opendatacommunities.org/id/london-borough-council/camden
55934,65,Liquidambar styraciflua,Sweet Gum,3,2,5,Juvenile,Good,£239.74,1,YORK WAY,YORK WAY N1,Highways,18/05/2016,2019/2020,E05000131,Cantelowes,530003,184620,-0.126578,51.545514,"(51.545514, -0.126578)",Captured By Camden Officer,12/12/2017 20:30,http://opendatacommunities.org/id/london-borough-council/camden
9971,9,Platanus x hispanica,London plane,12,5,66,Mature,Good,£32894.95,1,HEATH HURST ROAD,HEATH HURST ROAD NW3,Highways,19/07/2017,2020/2021,E05000135,Hampstead Town,527105,185595,-0.167999,51.554932,"(51.554932, -0.167999)",Captured By Camden Officer,12/12/2017 20:30,http://opendatacommunities.org/id/london-borough-council/camden
51231,11,Crataegus monogyna,Hawthorn - Common,6,3,16,Middle aged,Fair,£1841.16,1,ADMIRAL'S WALK PATH,ADMIRAL'S WALK PATH NW3,Highways,07/09/2015,2018/2019,E05000135,Hampstead Town,526249,186050,-0.180173,51.559209,"(51.559209, -0.180173)",Captured By Camden Officer,12/12/2017 20:31,http://opendatacommunities.org/id/london-borough-council/camden
