Identifier,Sequence,Scientific Name,Common Name,Height In Metres,Spread In Metres,Diameter In Centimetres At Breast Height,Maturity,Physiological Condition,Capital Asset Value For Amenity Trees,Number Of Trees,Site Name,Site Address,Contract Area,Inspection Date,Inspection Due Date,Ward Code,Ward Name,Easting,Northing,Longitude,Latitude,Location,Spatial Accuracy,Last Uploaded,Organisation URI
19520,139,Fraxinus excelsior,Ash,21,11,67,Mature,Fair,£43584.83,1,"PANCRAS ROAD, ST. PANCRAS GDNS (LS)","PANCRAS ROAD, ST. PANCRAS GDNS (LS)",Parks,14/03/2017,2019/2020,E05000143,St Pancras and Somers Town,529808,183447,-0.129825,51.535018,"(51.535018, -0.129825)",Captured By Camden Officer,12/12/2017 20:30,http://opendatacommunities.org/id/london-borough-council/camden
2594,44,Betula pendula,Birch - Silver,13,8,29,Mature,Good,£5141.23,1,Brookfield Estate D,,Housing,27/06/2017,2020/2021,E05000137,Highgate,528796,186581,-0.143266,51.563414,"(51.563414, -0.143266)",Captured By Camden Officer,12/12/2017 20:31,http://opendatacommunities.org/id/london-borough-council/camden
45537,100,Sorbus aucuparia,"Rowan, Mountain Ash",6,4,13,Juvenile,Good,£1620.61,1,Mortimer Estate,,Housing,23/10/2015,2018/2019,E05000140,Kilburn,525659,183551,-0.189581,51.536888,"(51.536888, -0.189581)",Captured By Camden Officer,12/12/2017 20:30,http://opendatacommunities.org/id/london-borough-council/camden
29647,17,Acer pseudoplatanus,Sycamore,15,6,32,Middle aged,Fair,£7364.65,1,Estate 11-15 Parsifal Road (odd),,Housing,11/05/2015,2018/2019,E05000132,Fortune Green,525340,185397,-0.193521,51.553552,"(51.553552, -0.193521)",Captured By Camden Officer,12/12/2017 20:31,http://opendatacommunities.org/id/london-borough-council/camden
255,13,Prunus unidentified species,Cherry,6,1,22,Middle aged,Fair,£2610.71,1,ADAMSON ROAD,ADAMSON ROAD NW3,Highways,29/06/2015,2018/2019,E05000128,Belsize,526809,184456,-0.172674,51.544759,"(51.544759, -0.172674)",Captured By Camden Officer,12/12/2017 20:31,http://opendatacommunities.org/id/london-borough-council/camden
32062,131,Catalpa bignonioides,Indian Bean Tree,15,12,51,Mature,Good,£21044.80,1,West End Sidings Estate,,Housing,22/05/2015,2018/2019,E05000132,Fortune Green,524776,184907,-0.201824,51.549271,"(51.549271, -0.201824)",Captured By Camden Officer,12/12/2017 20:30,http://opendatacommunities.org/id/london-borough-council/camden
5844,9,Sorbus aria,Whitebeam,4,4.5,24,Mature,Fair,£4142.62,1,ELEANOR PALMER JMI (E),Lupton Street,Education,28/06/2017,2020/2021,E05000139,Kentish Town,529091,185681,-0.139342,51.555258,"(51.555258, -0.139342)",Captured By Camden Officer,12/12/2017 20:31,http://opendatacommunities.org/id/london-borough-council/camden
16547,14,Acer platanoides,Maple - Norway,10,6,37,Middle aged,Good,£9189.50,1,Raglan Street Estate,,Housing,09/09/2016,2019/2020,E05000139,Kentish Town,528873,184917,-0.142759,51.548436,"(51.548436, -0.142759)",Captured By Camden Officer,12/12/2017 20:30,http://opendatacommunities.org/id/london-borough-council/camden
19087,6,Crataegus x prunifolia,Hawthorn,6,3,25,Mature,Fair,£3146.52,1,ST. MARTIN'S CLOSE,ST. MARTIN'S CLOSE NW1,Highways,04/05/2016,2019/2020,E05000130,Camden Town with Primrose Hill,529150,183811,-0.139174,51.538433,"(51.538433, -0.139174)",Captured By Camden Officer,12/12/2017 20:30,http://opendatacommunities.org/id/london-borough-council/camden
13780,26,Betula pendula,Birch - Silver,9,8,27,Middle aged,Good,£4718.70,1,Maitland Park Estate 2,,Housing,18/05/2017,2020/2021,E05000136,Haverstock,527899,184843,-0.156828,51.547999,"(51.547999, -0.156828)",Captured By Camden Officer,12/12/2017 20:30,http://opendatacommunities.org/id/london-borough-council/camden
54885,437,Sambucus nigra,Elder,3,2,15,Mature,Fair,£1456.39,1,Holly Lodge Estate,,Housing,15/06/2017,2020/2021,E05000137,Highgate,528498,186667,-0.147527,51.564249,"(51.564249, -0.147527)",Captured By Camden Officer,12/12/2017 20:30,http://opendatacommunities.org/id/london-borough-council/camden
18628,27,Platanus x hispanica,London plane,11,8,68,Mature,Good,£34918.79,1,ST. AUGUSTINE'S ROAD,ST. AUGUSTINE'S ROAD NW1,Highways,25/05/2016,2019/2020,E05000131,Cantelowes,529804,184520,-0.129479,51.544662,"(51.544662, -0.129479)",Captured By Camden Officer,12/12/2017 20:30,http://opendatacommunities.org/id/london-borough-council/camden
32159,20,Ligustrum lucidum,Privet - Chinese,6,5,26,Mature,Good,£4537.70,1,DENNING ROAD,DENNING ROAD NW3,Highways,18/07/2017,2020/2021,E05000135,Hampstead Town,526875,185804,-0.17124,51.556865,"(51.556865, -0.17124)",Captured By Camden Officer,12/12/2017 20:31,http://opendatacommunities.org/id/london-borough-council/camden
30733,73,Tilia cordata,Lime - Small-leaved,7,6,18,Middle aged,Fair,£3145.80,1,Lymington Road Estate,,Housing,08/05/2015,2018/2019,E05000145,West Hampstead,525858,185005,-0.186187,51.549907,"(51.549907, -0.186187)",Captured By Camden Officer,12/12/2017 20:30,http://opendatacommunities.org/id/london-borough-council/camden
21673,734,Aesculus hippocastanum,Horse Chestnut,22,13,91,Mature,Fair,£80402.31,1,WATERLOW PARK (LS),WATERLOW PARK (LS),Parks,10/03/2016,2018/2019,E05000137,Highgate,528635,186967,-0.145434,51.566915,"(51.566915, -0.145434)",Captured By Camden Officer,12/12/2017 20:30,http://opendatacommunities.org/id/london-borough-council/camden
20818,24,Prunus avium,"Cherry - Wild, Gean",15,10,54,Mature,Fair,£16777.58,1,WATERLOW PARK (LS),WATERLOW PARK (LS),Parks,17/03/2016,2018/2019,E05000137,Highgate,528603,187149,-0.145832,51.568555,"(51.568555, -0.145832)",Captured By Camden Officer,12/12/2017 20:30,http://opendatacommunities.org/id/london-borough-council/camden
36155,21,Sorbus aria,Whitebeam,10,9,41,Mature,Good,£12089.82,1,"JUDD STREET, OPEN SPACE (LS)","JUDD STREET, OPEN SPACE (LS)",Parks,16/07/2015,2018/2019,E05000141,King's Cross,530291,182589,-0.123182,51.527196,"(51.527196, -0.123182)",Captured By Camden Officer,12/12/2017 20:30,http://opendatacommunities.org/id/london-borough-council/camden
13061,20,Platanus x hispanica,London plane,10,4,55,Mature,Good,£22843.71,1,LISSENDON GARDENS,LISSENDON GARDENS NW5,Highways,18/08/2017,2020/2021,E05000137,Highgate,528376,185860,-0.149572,51.55703,"(51.55703, -0.149572)",Captured By Camden Officer,12/12/2017 20:30,http://opendatacommunities.org/id/london-borough-council/camden
51158,21,Acer pseudoplatanus 'Brilliant,Sycamore - Brillianissiumum,3,1,3,Juvenile,Good,£86.30,1,SOUTHAMPTON ROAD,SOUTHAMPTON ROAD NW5,Highways,18/08/2017,2020/2021,E05000136,Haverstock,527913,185137,-0.156512,51.550632,"(51.550632, -0.156512)",Captured By Camden Officer,12/12/2017 20:30,http://opendatacommunities.org/id/london-borough-council/camden
5657,22,Robinia pseudoacacia,False Acacia,15,10,51,Mature,Good,£19953.58,1,Dunboyne Road Estate,,Housing,28/04/2017,2020/2021,E05000134,Gospel Oak,527776,185322,-0.15843,51.552332,"(51.552332, -0.15843)",Captured By Camden Officer,12/12/2017 20:31,http://opendatacommunities.org/id/london-borough-council/camden
39211,25,Platanus x hispanica,London plane,22,12,49,Mature,Good,£23311.92,1,TORRINGTON PLACE,TORRINGTON PLACE WC1,Highways,27/06/2016,2019/2020,E05000129,Bloomsbury,529487,181946,-0.134997,51.521594,"(51.521594, -0.134997)",Captured By Camden Officer,12/12/2017 20:30,http://opendatacommunities.org/id/london-borough-council/camden
38162,36,Populus nigra 'Italica',Poplar - Lombardy,16,5,55,Middle aged,Fair,£20305.52,1,Westcroft Estate 1,,Housing,08/10/2015,2018/2019,,,524282,186035,-0.208538,51.559514,"(51.559514, -0.208538)",Captured By Camden Officer,12/12/2017 20:30,http://opendatacommunities.org/id/london-borough-council/camden
5831,27,Tilia europaea,Lime - Common,15,5,42,Mature,Fair,£13321.09,1,ELDON GROVE,ELDON GROVE NW3,Highways,03/09/2015,2018/2019,E05000135,Hampstead Town,526819,185441,-0.17218,51.553614,"(51.553614, -0.17218)",Captured By Camden Officer,12/12/2017 20:31,http://opendatacommunities.org/id/london-borough-council/camden
12334,2,Acer platanoides 'Erectum',Maple - Norway,9,5,28,Middle aged,Fair,£5638.56,1,KYLEMORE ROAD,KYLEMORE ROAD NW6,Highways,25/09/2015,2018/2019,E05000145,West Hampstead,525239,184411,-0.195316,51.544709,"(51.544709, -0.195316)",Captured By Camden Officer,12/12/2017 20:30,http://opendatacommunities.org/id/london-borough-council/camden
22512,15,Platanus x hispanica,London plane,22,9,44,Mature,Fair,£16708.55,1,WHITFIELD STREET,WHITFIELD STREET W1,Highways,27/06/2016,2019/2020,E05000129,Bloomsbury,529541,181703,-0.134307,51.519407,"(51.519407, -0.134307)",Captured By Camden Officer,12/12/2017 20:30,http://opendatacommunities.org/id/london-borough-council/camden
48098,99,Malus 'Rudolph',Apple - Crab,3,1,6,Juvenile,Fair,£233.02,1,Weedington Road Estate 1,,Housing,27/04/2017,2020/2021,E05000134,Gospel Oak,528279,185270,-0.151188,51.551751,"(51.551751, -0.151188)",Captured By Camden Officer,12/12/2017 20:30,http://opendatacommunities.org/id/london-borough-council/camden
35047,5,Acer pseudoplatanus,Sycamore,16,8,48,Mature,Fair,£13256.37,1,"FITZROY PARK, ALLOTMENTS (LS)","FITZROY PARK, ALLOTMENTS (LS)",Parks,17/03/2016,2018/2019,E05000137,Highgate,527863,187206,-0.156481,51.56924,"(51.56924, -0.156481)",Captured By Camden Officer,12/12/2017 20:31,http://opendatacommunities.org/id/london-borough-council/camden
47776,4,Corylus avellana,Hazel - Common,6,5,6,Mature,Good,£233.02,1,Estate 37/39 Great Ormond Street (Flats&,,Housing,15/09/2016,2019/2020,E05000138,Holborn and Covent Garden,530540,181988,-0.11981,51.521732,"(51.521732, -0.11981)",Captured By Camden Officer,12/12/2017 20:31,http://opendatacommunities.org/id/london-borough-council/camden
30745,61,Betula pendula,Birch - Silver,10,5,16,Middle aged,Good,£1380.87,1,Studholme Court Estate,,Housing,25/06/2015,2018/2019,E05000133,Frognal and Fitzjohns,525447,185630,-0.191887,51.555622,"(51.555622, -0.191887)",Captured By Camden Officer,12/12/2017 20:30,http://opendatacommunities.org/id/london-borough-council/camden
20865,71,Alnus glutinosa,Alder - Common,10,9,35,Middle aged,Fair,£10572.30,1,WATERLOW PARK (LS),WATERLOW PARK (LS),Parks,17/03/2016,2018/2019,E05000137,Highgate,528696,187176,-0.144479,51.568784,"(51.568784, -0.144479)",Captured By Camden Officer,12/12/2017 20:30,http://opendatacommunities.org/id/london-borough-council/camden
10301,1,Platanus x hispanica,London plane,22,13,70,Mature,Good,£47575.33,1,HIGHGATE ROAD,HIGHGATE ROAD NW5,Highways,18/08/2017,2020/2021,E05000137,Highgate,528505,185967,-0.147686,51.557955,"(51.557955, -0.147686)",Captured By Camden Officer,12/12/2017 20:30,http://opendatacommunities.org/id/london-borough-council/camden
8274,2,Malus sylvestris,Apple - Crab,3,3,11,Middle aged,Good,£652.67,1,"GOSPEL OAK JMI, (E)",Mansfield Road,Education,23/06/2017,2020/2021,E05000134,Gospel Oak,528214,185640,-0.151992,51.555089,"(51.555089, -0.151992)",Captured By Camden Officer,12/12/2017 20:31,http://opendatacommunities.org/id/london-borough-council/camden
